cnpj_cia,dt_refer,versao,denom_cia,cd_cvm,grupo_dfp,moeda,escala_moeda,ordem_exerc,dt_fim_exerc,cd_conta,ds_conta,vl_conta,st_conta_fixa
02.635.522/0001-95,2025-03-31,1,JALLES MACHADO S.A.,25496,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1,Ativo Total,7137606000.0,S
02.635.522/0001-95,2025-03-31,1,JALLES MACHADO S.A.,25496,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1.01,Ativo Circulante,2301201000.0,S
02.635.522/0001-95,2025-03-31,1,JALLES MACHADO S.A.,25496,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1.01.01,Caixa e Equivalentes de Caixa,1237342000.0,S
06.981.381/0001-13,2025-03-31,1,CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.,23981,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1,Ativo Total,1447937000.0,S
06.981.381/0001-13,2025-03-31,1,CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.,23981,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1.01,Ativo Circulante,684226000.0,S
06.981.381/0001-13,2025-03-31,1,CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.,23981,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1.01.01,Caixa e Equivalentes de Caixa,324775000.0,S
07.628.528/0001-59,2025-06-30,1,BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,20036,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-06-30,1,Ativo Total,3837002000.0,S
07.628.528/0001-59,2025-06-30,1,BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,20036,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-06-30,1.01,Ativo Circulante,1177848000.0,S
07.628.528/0001-59,2025-06-30,1,BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,20036,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-06-30,1.01.01,Caixa e Equivalentes de Caixa,142908000.0,S
08.070.508/0001-78,2025-03-31,1,RAIZEN ENERGIA S.A.,23230,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1,Ativo Total,105915394000.0,S
08.070.508/0001-78,2025-03-31,1,RAIZEN ENERGIA S.A.,23230,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1.01,Ativo Circulante,47425670000.0,S
08.070.508/0001-78,2025-03-31,1,RAIZEN ENERGIA S.A.,23230,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1.01.01,Caixa e Equivalentes de Caixa,14250829000.0,S
08.322.396/0001-03,2025-03-31,1,CERRADINHO BIOENERGIA S.A.,26522,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1,Ativo Total,7453275000.0,S
08.322.396/0001-03,2025-03-31,1,CERRADINHO BIOENERGIA S.A.,26522,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1.01,Ativo Circulante,2951487000.0,S
08.322.396/0001-03,2025-03-31,1,CERRADINHO BIOENERGIA S.A.,26522,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1.01.01,Caixa e Equivalentes de Caixa,1470898000.0,S
33.453.598/0001-23,2025-03-31,1,RAÍZEN S.A.,25917,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1,Ativo Total,140999678000.0,S
33.453.598/0001-23,2025-03-31,1,RAÍZEN S.A.,25917,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1.01,Ativo Circulante,61120378000.0,S
33.453.598/0001-23,2025-03-31,1,RAÍZEN S.A.,25917,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1.01.01,Caixa e Equivalentes de Caixa,21721393000.0,S
51.466.860/0001-56,2025-03-31,1,SAO MARTINHO S.A.,20516,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1,Ativo Total,21769383000.0,S
51.466.860/0001-56,2025-03-31,1,SAO MARTINHO S.A.,20516,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1.01,Ativo Circulante,6305241000.0,S
51.466.860/0001-56,2025-03-31,1,SAO MARTINHO S.A.,20516,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1.01.01,Caixa e Equivalentes de Caixa,898588000.0,S
64.904.295/0001-03,2025-02-28,1,CAMIL ALIMENTOS S.A.,24228,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-02-28,1,Ativo Total,11106595000.0,S
64.904.295/0001-03,2025-02-28,1,CAMIL ALIMENTOS S.A.,24228,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-02-28,1.01,Ativo Circulante,6210390000.0,S
64.904.295/0001-03,2025-02-28,1,CAMIL ALIMENTOS S.A.,24228,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-02-28,1.01.01,Caixa e Equivalentes de Caixa,2530204000.0,S
88.613.658/0001-10,2025-06-30,1,PETTENATI S.A. INDUSTRIA TEXTIL,9539,DF Consolidado - Balanço Patrimonial Ativo,REAL,UNIDADE,ÚLTIMO,2025-06-30,1,Ativo Total,1024919360000.0,S
88.613.658/0001-10,2025-06-30,1,PETTENATI S.A. INDUSTRIA TEXTIL,9539,DF Consolidado - Balanço Patrimonial Ativo,REAL,UNIDADE,ÚLTIMO,2025-06-30,1.01,Ativo Circulante,569773694000.0,S
88.613.658/0001-10,2025-06-30,1,PETTENATI S.A. INDUSTRIA TEXTIL,9539,DF Consolidado - Balanço Patrimonial Ativo,REAL,UNIDADE,ÚLTIMO,2025-06-30,1.01.01,Caixa e Equivalentes de Caixa,236167073000.0,S
